x,y,dot,cross,angleDeg,t,qx,qy,bestCoordonatesx,bestCoordonatesy
0,0,0.0935999,-0.000108,-0.0661105,0,129,108,0,0
0.0601199,0.2997,0.0932691,-0.000107856,-0.0662566,1,129,108,0.0601199,0.2997
0.120479,0.5988,0.092939,-0.000107713,-0.0664034,2,129,108,0.120479,0.5988
0.181078,0.8973,0.0926098,-0.000107569,-0.0665509,3,129,108,0.181078,0.8973
0.241915,1.1952,0.0922813,-0.000107426,-0.066699,4,129,108,0.241915,1.1952
0.30299,1.4925,0.0919536,-0.000107284,-0.0668478,5,129,108,0.30299,1.4925
0.364303,1.7892,0.0916267,-0.000107141,-0.0669972,6,129,108,0.364303,1.7892
0.425853,2.0853,0.0913005,-0.000106999,-0.0671474,7,129,108,0.425853,2.0853
0.487639,2.3808,0.0909751,-0.000106857,-0.0672982,8,129,108,0.487639,2.3808
0.549662,2.6757,0.0906505,-0.000106716,-0.0674497,9,129,108,0.549662,2.6757
0.61192,2.97,0.0903267,-0.000106574,-0.0676019,10,129,108,0.61192,2.97
0.674414,3.2637,0.0900036,-0.000106433,-0.0677549,11,129,108,0.674414,3.2637
0.737142,3.5568,0.0896813,-0.000106293,-0.0679085,12,129,108,0.737142,3.5568
0.800104,3.8493,0.0893597,-0.000106152,-0.0680628,13,129,108,0.800104,3.8493
0.8633,4.1412,0.089039,-0.000106012,-0.0682178,14,129,108,0.8633,4.1412
0.92673,4.4325,0.088719,-0.000105872,-0.0683736,15,129,108,0.92673,4.4325
0.990392,4.7232,0.0883998,-0.000105733,-0.0685301,16,129,108,0.990392,4.7232
1.05429,5.0133,0.0880813,-0.000105594,-0.0686873,17,129,108,1.05429,5.0133
1.11841,5.3028,0.0877636,-0.000105455,-0.0688452,18,129,108,1.11841,5.3028
1.18277,5.5917,0.0874467,-0.000105316,-0.0690038,19,129,108,1.18277,5.5917
1.24736,5.88,0.0871305,-0.000105178,-0.0691632,20,129,108,1.24736,5.88
1.31218,6.1677,0.0868151,-0.000105039,-0.0693234,21,129,108,1.31218,6.1677
1.37723,6.4548,0.0865005,-0.000104902,-0.0694842,22,129,108,1.37723,6.4548
1.44251,6.7413,0.0861866,-0.000104764,-0.0696459,23,129,108,1.44251,6.7413
1.50801,7.0272,0.0858735,-0.000104627,-0.0698083,24,129,108,1.50801,7.0272
1.57375,7.3125,0.0855611,-0.00010449,-0.0699714,25,129,108,1.57375,7.3125
1.63971,7.5972,0.0852495,-0.000104353,-0.0701353,26,129,108,1.63971,7.5972
